x, y, theta, stamp, 
0.0, 0.0, 3.9878226488671687e-11, 1729804864302922769, 
0.0, 0.0, 3.9878226488671687e-11, 1729804864354780991, 
0.0, 0.0, 3.9878226488671687e-11, 1729804864393858991, 
0.0, 0.0, 3.9878226488671687e-11, 1729804864444351241, 
0.0012501389719545841, -0.00011376879410818219, -0.019960607186475493, 1729804864508940522, 
0.00258705229498446, -0.00013802855391986668, -0.05521619420154775, 1729804864553150940, 
0.0048045809380710125, 5.545512613025494e-05, -0.10906103117904745, 1729804864604484299, 
0.007691670209169388, -0.00014878307410981506, -0.17902693387475663, 1729804864653829770, 
0.01071260217577219, -0.0006282445974647999, -0.26045003637094316, 1729804864702817064, 
0.013245227746665478, -0.0013264244189485908, -0.3487765789169943, 1729804864749236006, 
0.015605553053319454, -0.0025865554343909025, -0.4395732052016134, 1729804864793096829, 
0.019266514107584953, -0.004362603649497032, -0.5419581490384554, 1729804864843262117, 
0.022358812391757965, -0.00614509591832757, -0.6395682683033415, 1729804864893367848, 
0.02881859615445137, -0.011714545078575611, -0.84571273415613, 1729804865003388115, 
0.03394083306193352, -0.017608195543289185, -1.0399601168065389, 1729804865104074916, 
0.03746745362877846, -0.02413688600063324, -1.212830330892783, 1729804865192756628, 
0.0405581034719944, -0.03350221738219261, -1.437359928613106, 1729804865310339604, 
0.041396938264369965, -0.041718970984220505, -1.6169441193995435, 1729804865402996195, 
0.0406823493540287, -0.0507039874792099, -1.8196045988391059, 1729804865505217567, 
0.037223633378744125, -0.060002896934747696, -1.989068653152118, 1729804865593333912, 
0.03111603483557701, -0.07050879299640656, -2.176399094487827, 1729804865694096980, 
0.021806364879012108, -0.081387460231781, -2.387347896996188, 1729804865802942366, 
0.011093204841017723, -0.08952569961547852, -2.561860945641763, 1729804865900865735, 
-0.0019295646343380213, -0.09641087800264359, -2.7175207109469692, 1729804865993785690, 
-0.015933193266391754, -0.10098514705896378, -2.8617377154994554, 1729804866110760080, 
-0.026469595730304718, -0.10355380177497864, -2.927605880282599, 1729804866202854504, 
-0.04021966829895973, -0.10634374618530273, -2.9818637064278755, 1729804866301807178, 
-0.052426740527153015, -0.10815838724374771, -3.0088198231277974, 1729804866393810671, 
-0.06797225773334503, -0.11061814427375793, -2.997646075885696, 1729804866511683272, 
-0.08021841198205948, -0.11260157078504562, -2.964747010606943, 1729804866603254277, 
-0.09277606755495071, -0.11527957022190094, -2.908241295681345, 1729804866701827210, 
-0.10473174601793289, -0.11846748739480972, -2.836465532430052, 1729804866794781352, 
-0.11919218301773071, -0.12372327595949173, -2.733448058461166, 1729804866913064190, 
-0.13119366765022278, -0.12931956350803375, -2.638376324724921, 1729804867004239985, 
-0.14657308161258698, -0.1388658881187439, -2.508751354973076, 1729804867102856459, 
-0.15989793837070465, -0.14928361773490906, -2.3888871291962888, 1729804867193787175, 
-0.1729593425989151, -0.1623498648405075, -2.253537498387635, 1729804867312652072, 
