x, y, theta, stamp, 
2.4868995751603507e-14, 3.552713678800501e-15, -1.9550075202259807e-10, 1729804688900690959, 
2.4868995751603507e-14, 3.552713678800501e-15, -1.9615482985006953e-10, 1729804688943756362, 
2.4868995751603507e-14, 3.552713678800501e-15, -1.9711905449979653e-10, 1729804688993787211, 
-5.562725391428103e-07, 6.479197622866195e-07, -6.437494988676397e-06, 1729804689043798394, 
0.0007552906172350049, -0.0001225515443366021, -0.008748759584152489, 1729804689091893360, 
0.002406386425718665, -0.00022196848294697702, -0.043244793129504, 1729804689142047227, 
0.004992442671209574, -0.0005830030422657728, -0.10623961315473573, 1729804689203572445, 
0.008022814057767391, -0.0007059725467115641, -0.16825748258997686, 1729804689251737205, 
0.011761682108044624, -0.00141231925226748, -0.24318687168306685, 1729804689301698474, 
0.015930727124214172, -0.0024750318843871355, -0.31598675234138884, 1729804689343742439, 
0.021420283243060112, -0.004377893637865782, -0.4130332264800235, 1729804689393681135, 
0.02700703777372837, -0.006936491932719946, -0.5143735181892508, 1729804689443795637, 
0.03348052501678467, -0.010737213306128979, -0.6354203330614288, 1729804689504094830, 
0.043681588023900986, -0.01985657773911953, -0.8330271524455197, 1729804689605169285, 
0.0520639605820179, -0.03149512782692909, -1.0150231588551593, 1729804689702690761, 
0.05507054924964905, -0.037010520696640015, -1.0954607435607688, 1729804689744736514, 
0.06223481148481369, -0.06042715534567833, -1.4023496745903457, 1729804689904580188, 
0.06332070380449295, -0.07774078845977783, -1.5988217033594136, 1729804690005814613, 
0.059826090931892395, -0.09898777306079865, -1.778910470048359, 1729804690103739914, 
0.05770673602819443, -0.10710176080465317, -1.8582368475001845, 1729804690143747330, 
0.04142706096172333, -0.13929472863674164, -2.146707583364385, 1729804690303829458, 
0.025232620537281036, -0.16034916043281555, -2.2920199725864556, 1729804690404175246, 
0.009245846420526505, -0.17630915343761444, -2.425363066557079, 1729804690503710280, 
0.0024690856225788593, -0.18191292881965637, -2.4690822105160413, 1729804690543744013, 
-0.019420571625232697, -0.1984965056180954, -2.5415947582762515, 1729804690643813134, 
-0.043402157723903656, -0.21350234746932983, -2.597549442675686, 1729804690744094384, 
-0.06911779940128326, -0.22785070538520813, -2.635551976410469, 1729804690903747976, 
-0.07546168565750122, -0.23143796622753143, -2.6289345535203337, 1729804690943719538, 
-0.09468016773462296, -0.24318651854991913, -2.591271710545377, 1729804691043850068, 
-0.12028859555721283, -0.2601075768470764, -2.5217873128133452, 1729804691203975891, 
-0.13048839569091797, -0.26768043637275696, -2.4723269605853235, 1729804691304781741, 
-0.13926687836647034, -0.2752164900302887, -2.4265515939371447, 1729804691393793324, 
-0.14932866394519806, -0.2846227288246155, -2.374716175301147, 1729804691493885278, 
-0.1621408760547638, -0.29775166511535645, -2.329055120930098, 1729804691583852410, 
-0.17675131559371948, -0.31411486864089966, -2.28790105237652, 1729804691703718347, 
-0.1843494474887848, -0.3231871724128723, -2.27845256996429, 1729804691793642963, 
-0.1988694965839386, -0.33904004096984863, -2.289885068586907, 1729804691903778861, 
-0.21096359193325043, -0.3522283434867859, -2.3016729520744894, 1729804691983653983, 
-0.22451987862586975, -0.36650538444519043, -2.3286559184308957, 1729804692103748352, 
-0.234937846660614, -0.37694844603538513, -2.3570639196842667, 1729804692193766871, 
-0.24594813585281372, -0.3874625563621521, -2.3971365580554855, 1729804692293723243, 
-0.2587272524833679, -0.3987578749656677, -2.44901231119023, 1729804692403841035, 
-0.2713931202888489, -0.40879523754119873, -2.4878606321238146, 1729804692503743102, 
-0.2822619080543518, -0.41658657789230347, -2.51278592144501, 1729804692596732170, 
-0.29167747497558594, -0.4232565760612488, -2.530057370848956, 1729804692693729078, 
-0.30421310663223267, -0.4318167567253113, -2.5392883037255225, 1729804692804044958, 
-0.31676650047302246, -0.44041454792022705, -2.5458647644728836, 1729804692903728960, 
-0.3210908770561218, -0.44335269927978516, -2.5458647644728836, 1729804692943752669, 
-0.3382745683193207, -0.4555714726448059, -2.5181189848954673, 1729804693093522349, 
