e, e_dot, e_int, stamp, 
0.7707073573329345, 2.3361993242200782e-12, 0.07552978806727093, 1729804374994743841, 
0.7702567065376913, -0.0030446852811364376, 0.07502269457425167, 1729804375044081266, 
0.7628668105351475, -0.05939875520343605, 0.0714560254106906, 1729804375087792371, 
0.7552095797483442, -0.10676150193989593, 0.071965557965842, 1729804375138427965, 
0.7451097923911676, -0.11632771755441484, 0.07672676730123615, 1729804375189498675, 
0.7339641310979783, -0.12973771727437688, 0.08139278747079415, 1729804375247715064, 
0.7226275164906962, -0.1393514575809943, 0.07944114625883075, 1729804375297743796, 
0.7068593324835899, -0.17795526681894872, 0.07308628586171619, 1729804375349061875, 
0.689582986932628, -0.22272072660649064, 0.07006242243295, 1729804375396932253, 
0.6700384695905732, -0.2495706409062425, 0.06768900687096956, 1729804375447328949, 
0.647615769801104, -0.2547133447153556, 0.07358517353412689, 1729804375506912039, 
0.5392588847333769, -0.4862590896900614, 0.09884124987377518, 1729804375607015337, 
0.48546185997439323, -0.5577480525373348, 0.10656252915265425, 1729804375698074275, 
0.4235567469423567, -0.40592933751860166, 0.09162384316280604, 1729804375796807370, 
0.3647614013473581, -0.4259104528980524, 0.08028425430683976, 1729804375887159330, 
0.1926802319829105, -0.6938827793486643, 0.06886993965677601, 1729804376007419154, 
0.12666346100234327, -0.7228972101127975, 0.047828091666820664, 1729804376096899436, 
0.047896162186683355, -0.5089394415779415, 0.023173723092145607, 1729804376196726410, 
-0.013589331030956053, -0.4481189357260649, 0.011297329240531343, 1729804376307447527, 
-0.1424072991447647, -0.6174895015398965, -0.007568098701913967, 1729804376406755992, 
-0.1908349473241725, -0.6095588627232772, -0.02201443412885075, 1729804376497866470, 
-0.2416462334585856, -0.34854552107470793, -0.03639887017756388, 1729804376596699980, 
-0.26249184343169063, -0.24847491498449506, -0.04377204636401382, 1729804376686817889, 
-0.32430111027113173, -0.24905870377380013, -0.05797293828628808, 1729804376806635504, 
-0.3270748058084011, -0.18221263271542373, -0.06395278505506609, 1729804376896758937, 
-0.32839365565001577, -0.014614034713725426, -0.06239990087186444, 1729804376997700534, 
-0.32798943211889, -0.003116984903501168, -0.0687647386637465, 1729804377106523094, 
-0.28460984899091524, 0.14449199127167764, -0.0657946364111671, 1729804377207461842, 
-0.2533677468047134, 0.25994789250533085, -0.054896805483351054, 1729804377296704026, 
-0.21827775434109753, 0.23365152896817856, -0.047707118169111364, 1729804377396711881, 
-0.18248696056591135, 0.24936419275357133, -0.041452593887178986, 1729804377486815034, 
-0.12379299012730433, 0.2956047895687058, -0.0367166019075992, 1729804377606697941, 
-0.08854485232046849, 0.293595489436218, -0.027636062022184847, 1729804377696802313, 
-0.0474830733133757, 0.26740497349568765, -0.016455834087081574, 1729804377796703823, 
-0.026570993132858378, 0.21358182130038497, -0.010348515395123808, 1729804377887735601, 
9.573424753106519e-05, 0.1510905791342984, -0.005184969825315997, 1729804378007023729, 
0.015675781505445685, 0.1324022800068619, -0.0007523815539291286, 1729804378096740591, 
0.028727372773978133, 0.10140658238593225, 0.0028135419936248, 1729804378196705455, 
0.007590675083437415, -0.03474297353643277, 0.0032927420727710743, 1729804378286729025, 
0.004091810931236561, -0.08795519296425836, 0.0028335846650617523, 1729804378407068823, 
-0.003085944156140441, -0.036352031884485596, 0.000601995191787129, 1729804378496811824, 
-0.01545890964503871, -0.06966118688995565, -0.0008944300508250908, 1729804378592724548, 
-0.05771486156441946, -0.18526696237070836, -0.004954835399760841, 1729804378691731332, 
-0.07523377533764886, -0.19479212918273361, -0.010397583047934972, 1729804378802907587, 
-0.0918805215995609, -0.10865480833315212, -0.015740779589207648, 1729804378901767873, 
-0.09756597868086342, -0.07719687996199248, -0.016658472155022957, 1729804378991721870, 
-0.10039494512279451, -0.0309929363346893, -0.017870294020852405, 1729804379086734112, 
-0.13327724414454273, -0.1195774501139219, -0.021527314721398346, 1729804379186693194, 
-0.1355588602104027, -0.11656173686860945, -0.02585050811288565, 1729804379296769331, 
-0.12155633584952391, 0.039770922885112546, -0.02733597147956749, 1729804379396758518, 
-0.10750792664918662, 0.09872227909174691, -0.02308917037921142, 1729804379486739486, 
-0.11002641316416067, 0.04480980552590439, -0.02329056931266588, 1729804379602814635, 
-0.09914893163524369, 0.03135869795904699, -0.02217102729132082, 1729804379696769784, 
-0.08601960298720507, 0.08237485471997369, -0.01908050393388685, 1729804379796725514, 
-0.06439771274985712, 0.12382558991788865, -0.015805855345724443, 1729804379886769700, 
-0.04210394100673598, 0.15430312870797405, -0.012200274893085344, 1729804379986838675, 
-0.043925695692786954, 0.06874042759283634, -0.010532919097334505, 1729804380096829622, 
-0.03478103343591493, 0.024693916013192447, -0.008492017101384012, 1729804380197714513, 
-0.024882741608077047, 0.06724116471490278, -0.0065605038099971185, 1729804380286824911, 
-0.00948857286172039, 0.08097799504448712, -0.00474526016067436, 1729804380403575643, 
-0.01845743341965772, 0.011866634539526882, -0.003696757792766565, 1729804380496753668, 
-0.017538061114742987, -0.029079418030684784, -0.0029585809211787268, 1729804380598715244, 
-0.022318654674655325, -0.014531657277570416, -0.003748180077865659, 1729804380689580630, 
-0.023596913765517702, -0.021275662189373563, -0.004332642295538126, 1729804380803556590, 
-0.021452878751087007, 0.003926012652020144, -0.00465341786725779, 1729804380896803064, 
-0.024688944098308574, -0.0033449558289633404, -0.004445280040359051, 1729804380994782310, 
-0.045937130667701526, -0.08801841476360157, -0.0058301912760018145, 1729804381086754982, 
-0.047463004855711755, -0.0813273689253565, -0.008256628515173958, 1729804381204538247, 
-0.04792188453669172, -0.005977009138665394, -0.009892545267009232, 1729804381296755064, 
-0.049838170716121344, -0.008169651829660793, -0.009213075921931881, 1729804381394860829, 
