x, y, theta, stamp, 
2.06026733451381e-08, -2.399701948263555e-08, 2.384016640859845e-07, 1729804374896743235, 
2.06026733451381e-08, -2.399701948263555e-08, 2.3840143855635116e-07, 1729804374946719642, 
2.06026733451381e-08, -2.399701948263555e-08, 2.3840131863938174e-07, 1729804374994743841, 
6.667878187727183e-05, -5.6172899348894134e-05, 0.0006582731811091279, 1729804375044081266, 
0.0016391867538914084, 1.9922514184145257e-05, 0.010545017209934305, 1729804375087792371, 
0.0058137960731983185, 0.00031487311935052276, 0.024739983975460345, 1729804375138427965, 
0.011604150757193565, 0.00034872861579060555, 0.04472088094469776, 1729804375189498675, 
0.02057129517197609, 0.0010313186794519424, 0.07048105014973252, 1729804375247715064, 
0.029876533895730972, 0.0020206074696034193, 0.09702254581288663, 1729804375297743796, 
0.04097597673535347, 0.0032331342808902264, 0.1315967707835031, 1729804375349061875, 
0.05289332941174507, 0.005216093268245459, 0.16880906950938848, 1729804375396932253, 
0.06685615330934525, 0.008056586608290672, 0.21209821351737737, 1729804375447328949, 
0.08549747616052628, 0.012330194935202599, 0.26770866788366954, 1729804375506912039, 
0.11861536651849747, 0.022724628448486328, 0.3643433113170702, 1729804375607015337, 
0.14679306745529175, 0.03437748923897743, 0.4529849636537235, 1729804375698074275, 
0.17559370398521423, 0.04989375174045563, 0.5501276623350897, 1729804375796807370, 
0.1997518390417099, 0.06582433730363846, 0.638511532651796, 1729804375887159330, 
0.22865261137485504, 0.08929522335529327, 0.7489617299749615, 1729804376007419154, 
0.24783290922641754, 0.10815123468637466, 0.8251298300555393, 1729804376096899436, 
0.26800549030303955, 0.13133551180362701, 0.9112671079841981, 1729804376196726410, 
0.2914765477180481, 0.16322243213653564, 0.9752396352515996, 1729804376307447527, 
0.31313812732696533, 0.19605793058872223, 1.0138068068416677, 1729804376406755992, 
0.33099550008773804, 0.22530041635036469, 1.0497026693209366, 1729804376497866470, 
0.34863507747650146, 0.2571438252925873, 1.0807146105011436, 1729804376596699980, 
0.3659765422344208, 0.28925782442092896, 1.0764580947639117, 1729804376686817889, 
0.38879820704460144, 0.33034923672676086, 1.0462473815224616, 1729804376806635504, 
0.4053418040275574, 0.35871657729148865, 1.0220187485223031, 1729804376896758937, 
0.4258817732334137, 0.39127790927886963, 0.9891794727007084, 1729804376997700534, 
0.4483341574668884, 0.424631804227829, 0.9256951740021822, 1729804377106523094, 
0.46884289383888245, 0.4510120749473572, 0.8562421029221501, 1729804377207461842, 
0.48942625522613525, 0.4739106595516205, 0.8026928613815336, 1729804377296704026, 
0.5137774348258972, 0.49824434518814087, 0.7432949349224683, 1729804377396711881, 
0.537772536277771, 0.5195239782333374, 0.6801198946817744, 1729804377486815034, 
0.5709019899368286, 0.5450652837753296, 0.6035553142211413, 1729804377606697941, 
0.5946857929229736, 0.561456024646759, 0.5579006341923748, 1729804377696802313, 
0.6240240931510925, 0.5793753266334534, 0.5080375015337323, 1729804377796703823, 
0.6503733396530151, 0.5937647819519043, 0.47411090632155933, 1729804377887735601, 
0.6828368306159973, 0.6101382374763489, 0.4454173724435013, 1729804378007023729, 
0.7070913314819336, 0.6215291619300842, 0.43036930423096187, 1729804378096740591, 
0.7335577607154846, 0.6334709525108337, 0.41949677869772056, 1729804378196705455, 
0.7580694556236267, 0.644618809223175, 0.42014450710045004, 1729804378286729025, 
0.7898805141448975, 0.6591914296150208, 0.4234551137290635, 1729804378407068823, 
0.8111947178840637, 0.6688210368156433, 0.4308688832439424, 1729804378496811824, 
0.833912193775177, 0.6794272065162659, 0.44246885243868406, 1729804378592724548, 
0.8591887354850769, 0.6918700933456421, 0.4519553776472471, 1729804378691731332, 
0.8858002424240112, 0.7050536870956421, 0.463728758032829, 1729804378802907587, 
0.9080759882926941, 0.7164182662963867, 0.4737644376346967, 1729804378901767873, 
0.9281437993049622, 0.7267439961433411, 0.4722499474353929, 1729804378991721870, 
0.950414776802063, 0.7379265427589417, 0.4666391391497257, 1729804379086734112, 
0.9736151695251465, 0.7493988275527954, 0.4647282457408253, 1729804379186693194, 
0.9970490336418152, 0.7610004544258118, 0.45653398824400326, 1729804379296769331, 
1.018859624862671, 0.7715746164321899, 0.431851635159525, 1729804379396758518, 
1.0391329526901245, 0.7808662056922913, 0.4080722196650353, 1729804379486739486, 
1.0651671886444092, 0.7918510437011719, 0.3823354665129865, 1729804379602814635, 
1.0845215320587158, 0.7992997169494629, 0.36543741444854133, 1729804379696769784, 
1.10429048538208, 0.8068951368331909, 0.3453607200413549, 1729804379796725514, 
1.1235685348510742, 0.8136171102523804, 0.31829931529674044, 1729804379886769700, 
1.1462182998657227, 0.8210265636444092, 0.29034224514545487, 1729804379986838675, 
1.1698415279388428, 0.8279737830162048, 0.2735525379128047, 1729804380096829622, 
1.1892904043197632, 0.8332033157348633, 0.26232144695280507, 1729804380197714513, 
1.2077667713165283, 0.8379961252212524, 0.25075119938551366, 1729804380286824911, 
1.2324494123458862, 0.844136118888855, 0.23369428060666783, 1729804380403575643, 
1.250864028930664, 0.8483359813690186, 0.22548808507616017, 1729804380496753668, 
1.269525408744812, 0.8523752689361572, 0.22422193470355176, 1729804380598715244, 
1.2861287593841553, 0.8561898469924927, 0.2279853787887008, 1729804380689580630, 
1.3088839054107666, 0.8613420724868774, 0.22792967136109626, 1729804380803556590, 
1.3271640539169312, 0.865497350692749, 0.22449492149376038, 1729804380896803064, 
1.3445427417755127, 0.8694887161254883, 0.22617780325582876, 1729804380994782310, 
1.3609813451766968, 0.873282253742218, 0.22718098458039762, 1729804381086754982, 
1.3824872970581055, 0.8781771659851074, 0.22579881855475917, 1729804381204538247, 
1.39822518825531, 0.881787896156311, 0.22377259154834936, 1729804381296755064, 
1.4151099920272827, 0.8857872486114502, 0.22228700402910537, 1729804381394860829, 
1.4308661222457886, 0.8891240358352661, 0.21832743161289955, 1729804381487761988, 
1.4471580982208252, 0.8927016258239746, 0.21370486788884824, 1729804381588224761, 
1.4646847248077393, 0.8963750004768372, 0.20739655834703152, 1729804381698344832, 
