e, e_dot, e_int, stamp, 
0.29152489227260736, -7.438145936342846e-11, 0.05744510188252355, 1729804190793576184, 
0.2909081300962771, -0.004750382485392513, 0.04086708690971303, 1729804190836854256, 
0.285116583278528, -0.04344056034451436, 0.026944604349750958, 1729804190886751044, 
0.2815577597721686, -0.062346181302433266, 0.028598562264242514, 1729804190936897913, 
0.2767585277980407, -0.050270437806592266, 0.030997564568575376, 1729804190997006047, 
0.27057387475091954, -0.06822137764208701, 0.030297697929619075, 1729804191046554292, 
0.2646089107689755, -0.08138208209942463, 0.026939480134177393, 1729804191096543340, 
0.25819295758218147, -0.08423187453257201, 0.02594216843875508, 1729804191144649685, 
0.3391105649177878, 0.49348551454940753, 0.028226641564867976, 1729804191194789892, 
0.33555307056358674, 0.5097526049616734, 0.028671787074215922, 1729804191236856099, 
0.3371415011820761, -0.022896356873245944, 0.04792387171438337, 1729804191336884066, 
0.4076399229204636, 0.2190225378177857, 0.07561538414021848, 1729804191446833799, 
0.4080977242114377, 0.2152775627470173, 0.08012851179292824, 1729804191545392942, 
0.40921406269718164, 0.009027968279775736, 0.06055717902539476, 1729804191595142941, 
0.45311482464923103, 0.09872508282131241, 0.08898326942642172, 1729804191755519057, 
0.40680113232460907, -0.07478869005250238, 0.10718073256207303, 1729804191848499329, 
0.34842813290394037, -0.3645646208150371, 0.07692669701510743, 1729804191946507777, 
0.330720324888244, -0.31651781201941287, 0.05358650287944226, 1729804191996535214, 
0.3084961855851196, -0.1707492714153759, 0.0626932115331233, 1729804192136940273, 
0.26306033146158425, -0.19089547724232783, 0.07520399881719383, 1729804192246582634, 
0.21935558607645178, -0.28392025891602707, 0.05525070618771965, 1729804192346511119, 
0.1964119062497749, -0.2987229690424216, 0.03392680996773558, 1729804192396518194, 
0.1504375416805327, -0.2619317658558718, 0.03597425469493456, 1729804192537118333, 
0.12455788926879319, -0.18779911407873962, 0.039294813848429755, 1729804192646587364, 
0.10056034075424403, -0.15885286101878968, 0.02621344873063704, 1729804192746515584, 
0.08506564410980388, -0.18267250949740865, 0.015535763436932526, 1729804192796844338, 
0.06957804017076552, -0.14956605913261012, 0.013636714022352165, 1729804192906819255, 
0.04397793640960357, -0.10756278012187519, 0.016601009833463833, 1729804193047587582, 
0.027553756822304765, -0.11595997502545478, 0.011274535573126599, 1729804193146516446, 
0.027975295292701263, -0.052582730419269814, 0.004971671813779592, 1729804193197476707, 
0.027185372306649414, -0.00019695449117334424, 0.0038624464933880768, 1729804193286604944, 
0.04213406042176526, 0.028139503707054727, 0.00808785543902904, 1729804193446858835, 
0.04157803595716314, 0.029234038172640822, 0.00960796272724573, 1729804193546519697, 
0.042711358375217, 0.0056954848140886305, 0.006306958063725079, 1729804193596521524, 
0.042654693438263225, 0.007420937846249837, 0.008068444098489657, 1729804193737196811, 
0.045958534117461314, 0.009932595450803794, 0.010946860149004969, 1729804193846593361, 
0.06794045409108507, 0.08339290823653815, 0.010923496659898316, 1729804193946521112, 
0.06747476893911908, 0.07024737156131657, 0.009089746015625226, 1729804193996941672, 
0.06011240334964674, -0.01838705461673604, 0.013734698182448013, 1729804194157253965, 
0.05584765798689828, -0.031156816622395694, 0.015286899645811166, 1729804194246952528, 
0.0519527672175919, -0.02888611569580926, 0.010594119446377904, 1729804194346532882, 
0.04672480157748349, -0.047899091686272884, 0.0077040324216504155, 1729804194396520969, 
0.05314951259447609, -0.01959718132939631, 0.009630291667883588, 1729804194536820904, 
0.036066460551033686, -0.036449735692353734, 0.011347083949967461, 1729804194646933341, 
0.024758763978752096, -0.09154893013628117, 0.00777815411453144, 1729804194741554540, 
0.02098765441966921, -0.06449852983948907, 0.003970339445254599, 1729804194792521890, 
