e, e_dot, e_int, stamp, 
-2.3561944899952363, 1.1486187469007903e-11, -0.21935287600168818, 1729804688993787211, 
-2.356187450601233, 4.691880592282423e-05, -0.2357182498212659, 1729804689043798394, 
-2.347884512843477, 0.05759235753110863, -0.23088518422029364, 1729804689091893360, 
-2.3142624399726857, 0.28100493037155194, -0.2298477215798368, 1729804689142047227, 
-2.2527364600933373, 0.556796952708063, -0.25741595081180335, 1729804689203572445, 
-2.1922854649092183, 0.7517000092888487, -0.24714191776329275, 1729804689251737205, 
-2.1195606152329076, 0.9035707313589523, -0.2147188055720129, 1729804689301698474, 
-2.0493488609393418, 1.0418616314477591, -0.19508774302460558, 1729804689343742439, 
-1.955950667844705, 1.1800724304861114, -0.18779364476650756, 1729804689393681135, 
-1.8586225315902125, 1.270790716706253, -0.1955680516543979, 1729804689443795637, 
-1.7426309575534435, 1.2885719909287328, -0.20453048161414839, 1729804689504094830, 
-1.5545521176951729, 1.2614652543099905, -0.2773370530514785, 1729804689605169285, 
-1.38250202117507, 1.2083409225756447, -0.3097888061703623, 1729804689702690761, 
-1.3063306294259334, 1.191952942074269, -0.19741248456396812, 1729804689744736514, 
-1.0150438982328522, 1.211317866550451, -0.24925783804093488, 1729804689904580188, 
-0.8282965960133974, 1.222341370774897, -0.2741033831478425, 1729804690005814613, 
-0.6581004538385253, 1.1942405574805504, -0.16606209794191468, 1729804690103739914, 
-0.5822484120164191, 1.2113232146827444, -0.09511129635507343, 1729804690143747330, 
-0.30421266585168594, 1.2109271447416907, -0.1030168708530404, 1729804690303829458, 
-0.16336183584599162, 1.0468288428329127, -0.09113439786253666, 1729804690404175246, 
-0.03172143122801696, 0.9087360336433359, -0.03326656049814823, 1729804690503710280, 
0.011954029954350798, 0.8045066534638542, -0.008519707275480421, 1729804690543744013, 
0.08524958991415943, 0.6078052711817121, 0.003058080504899829, 1729804690643813134, 
0.1440778337253774, 0.4396939524704409, 0.016113609580984893, 1729804690744094384, 
0.18641990393721652, 0.2839482234899386, 0.036022405301861876, 1729804690903747976, 
0.18087471123800114, 0.04216122996347275, 0.034027601287712816, 1729804690943719538, 
0.1459670007971865, -0.1624501648394101, 0.023969675380344814, 1729804691043850068, 
0.0794772058995461, -0.2546189094006084, 0.0352490265788667, 1729804691203975891, 
0.030693967956726187, -0.2997224295518593, 0.022278187477164396, 1729804691304781741, 
-0.015178359617433745, -0.33309498278927707, 0.006010430717420728, 1729804691393793324, 
-0.0676563370947374, -0.34655000065535946, -0.003286665409804083, 1729804691493885278, 
-0.11496566527762697, -0.3500496350022813, -0.012531252003416721, 1729804691583852410, 
-0.15906476521700252, -0.2979182537151755, -0.023899061026655528, 1729804691703718347, 
-0.17050084582354064, -0.16502586718218556, -0.031086154094861568, 1729804691793642963, 
-0.16188726898555172, -0.01632182036705053, -0.032773438594933625, 1729804691903778861, 
-0.15252502060635909, 0.06513989683104066, -0.030712946490562686, 1729804691983653983, 
-0.127971735450227, 0.10722033226471149, -0.029487769438069182, 1729804692103748352, 
-0.10108061029454118, 0.1677262465276115, -0.026724774146489792, 1729804692193766871, 
-0.06224315333699382, 0.2290909648880631, -0.01844627689561611, 1729804692293723243, 
-0.011111077609987419, 0.2842946345625031, -0.012214751148761848, 1729804692403841035, 
0.027932463277217323, 0.2850526563029897, -0.003179824413844859, 1729804692503743102, 
0.05372062195336902, 0.2227142588827502, 0.004535642638371992, 1729804692596732170, 
0.07182753275213383, 0.15466658728046903, 0.009719721668176747, 1729804692693729078, 
0.08248006255176143, 0.09441300587994218, 0.014375636567424393, 1729804692804044958, 
0.09050660574601554, 0.05902791892272905, 0.01713698444413518, 1729804692903728960, 
0.09103851689671183, 0.03126992488059088, 0.012295451423291038, 1729804692943752669, 
0.06498063728316739, -0.05356548205012792, 0.01559631981737865, 1729804693093522349, 
0.04730786406676657, -0.12330575721459917, 0.016264038657885494, 1729804693183721348, 
0.020453821499407443, -0.13923442819393786, 0.00934892317088993, 1729804693304809668, 
0.01116954501396128, -0.1530769948668648, 0.004214580994393697, 1729804693343908170, 
-0.01951723867632804, -0.14725538524587425, 0.0007638865215821395, 1729804693494107154, 
-0.03770904775847628, -0.13548617287286435, -0.0036874590040285814, 1729804693584098350, 
-0.0551060649342916, -0.11586611191368164, -0.007848347121683719, 1729804693703708761, 
-0.05675672865160175, -0.0622134542765376, -0.007961303226640667, 1729804693743780209, 
-0.06575624160782212, -0.03245172462049297, -0.011859801960665514, 1729804693904021784, 
-0.05909493361987517, 0.0034501307509181866, -0.015763125112732538, 1729804694004172925, 
-0.05052807882643151, 0.052259400789636166, -0.011403058664746633, 1729804694099080066, 
-0.04284906521457099, 0.08734445367012432, -0.007095691930834614, 1729804694143785870, 
-0.021876321649956232, 0.1036459751403877, -0.00750700801790131, 1729804694294484377, 
-0.005178749832987606, 0.0972059156666933, -0.006063682063314819, 1729804694404014335, 
0.006113062437929084, 0.0901279155470428, -0.0014329572341705823, 1729804694499759415, 
0.014009630187182598, 0.09915057613443, 0.0006960554754702562, 1729804694543747634, 
0.03210775880186878, 0.09977041886202113, 0.003396078079940098, 1729804694694822524, 
0.038510887015005935, 0.059503884117609485, 0.007338049686549626, 1729804694803875219, 
0.03557480523775647, 0.009466797503931021, 0.007288533850044012, 1729804694900726008, 
0.03319882624021764, -0.028503540825944456, 0.00500295260397115, 1729804694943772923, 
0.03077564990484083, -0.02375007010477359, 0.006436711391360557, 1729804695094701634, 
0.022375831039546323, -0.031027058623301157, 0.007483127550903177, 1729804695203753268, 
0.011843796165764253, -0.06187933689089629, 0.004463464775113493, 1729804695300722670, 
-0.0007114755620420965, -0.08120849865214012, 0.002121759360862081, 1729804695393715345, 
-0.010827718170873357, -0.07926069311306776, 1.943666550228953e-05, 1729804695492152515, 
-0.019630760881132137, -0.0604384197496279, -0.0021872073208808207, 1729804695604226462, 
-0.024278749631587715, -0.04207211280340515, -0.003823909862269897, 1729804695701730710, 
-0.02436197470011159, -0.01654963456847291, -0.0031758063424632546, 1729804695743778414, 
-0.024963106670726543, -0.002014158436949448, -0.004661431184751388, 1729804695891724809, 
-0.026671540847009734, -0.006393413806560812, -0.006610692692663282, 1729804696004738408, 
-0.022336630786236267, 0.009696841935098025, -0.005204413057486154, 1729804696102796451, 
-0.016860769974939682, 0.034803193753792455, -0.004150098618386732, 1729804696193754590, 
-0.00621532620353582, 0.05192471279989098, -0.0030630067211364236, 1729804696305141053, 
0.0008891687853536112, 0.05540205165822839, -0.0015676414499641764, 1729804696405722848, 
0.006850555522944557, 0.043819322234622704, 0.0001009112378484036, 1729804696503733345, 
0.008649956173318873, 0.035268456891154765, 0.0007540001756780507, 1729804696543736553, 
0.010292260825981003, 0.02046740182121325, 0.0012038080943682665, 1729804696643750254, 
0.019367410375311422, 0.02436129519837164, 0.0033223834197181118, 1729804696803910064, 
0.01774653157055095, 0.01347672857343229, 0.004108715394226356, 1729804696903761507, 
0.015631169104432185, -0.013162518985809536, 0.003354880338883657, 1729804696994726631, 
0.013741284557343914, -0.013539530422406416, 0.003138199100064575, 1729804697103566262, 
0.012245879752510014, -0.010770715583046724, 0.002897727668392548, 1729804697203605322, 
0.009258537006228806, -0.014922927486165319, 0.0023522546478856386, 1729804697303782563, 
0.0062628642296234105, -0.021041810694807598, 0.0017597445833748124, 1729804697393729582, 
-0.0006830103149835232, -0.034083508849560344, 0.0009431835038053308, 1729804697494473759, 
-0.005908461901187323, -0.04248001604985826, -2.0820242420972243e-05, 1729804697583806299, 
-0.00964897260681763, -0.029890926457254413, -0.001133062082242082, 1729804697703777524, 
-0.008896209964651458, -0.007664204866128443, -0.0017274948725262854, 1729804697795737270, 
-0.010484963864590302, -0.0026419584967852044, -0.0018440790793664418, 1729804697894346223, 
